Class,Recall,Total_Samples,Correct_Predictions,Recall_Percent
A,0.9999999999285715,14,14,99.99999999285714
B,0.9999999999285715,14,14,99.99999999285714
C,0.9230769230059171,13,12,92.30769230059171
D,0.9999999999444444,18,18,99.99999999444444
E,0.9999999999411765,17,17,99.99999999411764
F,0.99999999995,20,20,99.999999995
G,0.9999999999375,16,16,99.99999999375
H,0.9999999999411765,17,17,99.99999999411764
I,0.928571428505102,14,13,92.8571428505102
J,0.9230769230414201,26,24,92.30769230414201
K,0.9999999999444444,18,18,99.99999999444444
L,0.9999999999333333,15,15,99.99999999333333
M,0.8181818181074381,11,9,81.81818181074381
N,0.999999999875,8,8,99.9999999875
O,0.9374999999414062,16,15,93.74999999414062
P,0.9999999999285715,14,14,99.99999999285714
Q,0.7857142856581633,14,11,78.57142856581632
R,0.941176470532872,17,16,94.1176470532872
S,0.941176470532872,17,16,94.1176470532872
T,0.9333333332711111,15,14,93.3333333271111
U,0.8888888888395061,18,16,88.88888888395061
V,0.9999999999444444,18,18,99.99999999444444
W,0.9999999999375,16,16,99.99999999375
X,0.9999999999285715,14,14,99.99999999285714
Y,0.9999999999375,16,16,99.99999999375
Z,0.9999999999583333,24,24,99.99999999583333
del,0.9999999999090909,11,11,99.99999999090909
space,0.9999999999,10,10,99.99999998999999
OVERALL,0.9659863945578231,441,426,96.5986394557823
