Class,Recall,Total_Samples,Correct_Predictions,Recall_Percent
A,0.571428571387755,14,8,57.142857138775504
B,0.8571428570816326,14,12,85.71428570816326
C,0.7692307691715976,13,10,76.92307691715976
D,0.8333333332870371,18,15,83.3333333287037
E,0.8823529411245675,17,15,88.23529411245676
F,0.699999999965,20,14,69.9999999965
G,0.9374999999414062,16,15,93.74999999414062
H,0.8823529411245675,17,15,88.23529411245676
I,0.9999999999285715,14,14,99.99999999285714
J,0.8461538461213017,26,22,84.61538461213017
K,0.9444444443919753,18,17,94.44444443919753
L,0.9333333332711111,15,14,93.3333333271111
M,0.45454545450413225,11,5,45.45454545041323
N,0.74999999990625,8,6,74.999999990625
O,0.6874999999570313,16,11,68.74999999570312
P,0.7142857142346939,14,10,71.42857142346939
Q,0.7142857142346939,14,10,71.42857142346939
R,0.5294117646747405,17,9,52.94117646747405
S,0.5294117646747405,17,9,52.94117646747405
T,0.6666666666222222,15,10,66.66666666222221
U,0.22222222220987653,18,4,22.222222220987653
V,0.9444444443919753,18,17,94.44444443919753
W,0.8749999999453125,16,14,87.49999999453125
X,0.571428571387755,14,8,57.142857138775504
Y,0.6249999999609375,16,10,62.49999999609375
Z,0.74999999996875,24,18,74.999999996875
del,0.9999999999090909,11,11,99.99999999090909
space,0.69999999993,10,7,69.99999999299999
OVERALL,0.7482993197278912,441,330,74.82993197278913
